name;version;manager;technology;status
ACTES;3.9.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest mfstoffel hgiraud pgriesbaecher ;J2EE, Hibernate, Spring, ORACLE;PROD
ALV;3.10.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;Oracle/Java/XML;PROD
APIE2;;mrossi fgallone DG ITEC lliudvinaviciute ;Oracle/Omnimark;PROD
AT4AM;2.32.1;DG IPOL galaimo ;J2EE, Hibernate, Spring, ORACLE;PROD
Authoring Tool for Legal tEXt;;jnistaltome ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
CARTON;2.17.0;DG PRES ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;J2EE, Hibernate, Spring, ORACLE;PROD
Contingency Tool;2.0.0;DG ITEC ofabbri phcambier ypilla mfstoffel ;JAVA;PROD
CODICT-ADMIN;CF. CODICT;fcolson mbourcellier jjosserand ptagu beng yugur aporcher ;J2EE, Hibernate, Spring, ORACLE;PROD
CODICT;3.24.0;fcolson mbourcellier DG ITEC/EVOLUTION jjosserand ptagu beng yugur aporcher pbeauregard ;Oracle;PROD
COMAP;1.0;mwams fbrogialdi DG ITEC/SUPPORT ;Excel VBA;PROD
COVAS;COVAS-1.0.0_F;mrossi fgallone volive lliudvinaviciute ;Oracle/Java;PROD
Planning Tool for Committees;1.10.0;DG IPOL DG EXPO galaimo ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
CRE;7.70.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;Oracle/Powerbuilder/C;PROD
CRE2017;;jmklein clemonias ;J2EE, Hibernate, Spring, ORACLE;DV
CRE Publication;2.0.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest mfstoffel hgiraud pgriesbaecher ;JAVA;PROD
CREWEB;1.5.0;ofabbri ;J2EE;PROD
WEB DHONDT SYSTEM;1.3.1;mbalsby Political Group galaimo ;HTML/Java;PROD
WEB DHONDT SYSTEM CS;2.0.0;Political Group galaimo ;HTML/Java;PROD
DM4EP;3.6.0;mloreng cadrian DG ITEC/EVOLUTION jcolin malambert cinvernizzi rmussard ;Oracle/Java/XML;PROD
DM-XML;3.3.7.3;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;Java 2 (SE/EE),  XML;PROD
DOCEP;9.10.0;hvuillaume DG ITEC DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi clemonias rmussard ;Macros WORD;PROD
SCANPUSH;3.1.0;hvuillaume cadrian fmoncel jcolin malambert cinvernizzi clemonias rmussard ;J2EE;PROD
Drafting Support Tool;2.32.1;DG PRES galaimo ;J2EE, Hibernate, Spring, ORACLE;PROD
ELVIIS;3.4.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;Java 2 (SE/EE),  XML;PROD
EPADES-REP;NAS 1.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION gbalenovic fmoncel jcolin malambert cinvernizzi rmussard ;;PROD
FILEBEANS;4.2.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;J2EE;PROD
EPA2MAIL;5.8.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;JAVA;PROD
EPADCO;1.4.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;J2EE, Hibernate, Spring, ORACLE;PROD
EPADES2;;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;Oracle;PROD
EPADES2ADMIN;6.1.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;HTML/Java;PROD
EPADIFF;1.2.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;JAVA;PROD
EPAKERNEL;3.6.0;mloreng cadrian pbillard ;Oracle/JAVA/J2EE/XML/C/JNI;DECOMM
EPAPUBLIC;7.3.0;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;JAVA;PROD
EPAWS;2.4.0;mloreng hvuillaume cadrian fmoncel jcolin malambert cinvernizzi rmussard ;Oracle/JAVA/J2EE/XML/C/JNI;PROD
E-PETITION2;2.13.2  (13 JUNE 20);preunis DG IPOL ;J2EE;PROD
EPgreffe;2.5.1 (08 MARCH 2017);mbalsby preunis ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
EPS Admin;1.1;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;JAVA;PROD
EPS Diffusion;1.0;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;JAVA;PROD
EPS-PSL;1.2.0;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;Oracle/JAVA/J2EE/XML/C/JNI;PROD
