name;version;manager;technology;status
SEANCE EN DIRECT;SELON LES MODULES;DG PRES rpochet cbouzas cvagner ;J2EE;PROD
SEANCE EN DIRECT;SELON LES MODULES;DG PRES rpochet cbouzas cvagner ;J2EE;PROD
RSS;1.32;purbain cbouzas ;Oracle/Java;PROD
AWS;1.4.7;purbain cbouzas ;Oracle/Java/XML;DECOMM
SEANCE EN DIRECT;SELON LES MODULES;DG PRES rpochet cbouzas cvagner ;J2EE;PROD
XCONV;5.2;purbain cbouzas ;XML/PDF/Word;PROD
CARMEP-BO;1.5.0;fcolson fdubois vreding tpayeur ;Business Objects;PROD
CARMEP;1.3.3;mamabilino DG INLO DG ITEC/EVOLUTION vdreux jyhubert jmas ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
FINORD-BO;5.4.4;hslimani skleim DG FINS lbuniet ;Business Objects;PROD
FINORD-BO;5.4.4;hslimani skleim DG FINS lbuniet ;Business Objects;PROD
FINORD;5.4.4;hslimani skleim DG FINS lbuniet ;Oracle/Forms;PROD
FINORD-BO;5.4.4;hslimani skleim DG FINS lbuniet ;Business Objects;PROD
FINORD-BO;5.4.4;hslimani skleim DG FINS lbuniet ;Business Objects;PROD
FINORD;5.4.4;hslimani skleim DG FINS lbuniet ;Oracle/Forms;PROD
FINICS-BO;5.4.4;hslimani skleim afournel lbuniet ;Business Objects;PROD
FINICS-BO;5.4.4;hslimani skleim afournel lbuniet ;Business Objects;PROD
FINORD;5.4.4;hslimani skleim DG FINS lbuniet ;Oracle/Forms;PROD
FINICS-BO;5.4.4;hslimani skleim afournel lbuniet ;Business Objects;PROD
FINICS-BO;5.4.4;hslimani skleim afournel lbuniet ;Business Objects;PROD
FINICS-BO;5.4.4;hslimani skleim afournel lbuniet ;Business Objects;PROD
FINORD-BO;5.4.4;hslimani skleim DG FINS lbuniet ;Business Objects;PROD
JIRA-BO;6.1;fcolson fdubois cpignon vreding tpayeur ;Business Objects;PROD
MADIS;3.3.0;fcolson DG ITEC mbourcellier DG ITEC/EVOLUTION jjosserand ptagu beng yugur aporcher pbeauregard ;Oracle/Java/XML;PROD
MISS-BO;1.5;dthomassin ysurmely ariosnunez ;Business Objects;PROD
MISS;4.2;dthomassin ariosnunez ;Adabas/Natural;PROD
PERICLES core;4.3;pbillard alancini ;Java 2 (SE/EE),  XML;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
ALLOCATION FOYER;;wcornelis ;Client/Server Access;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
ALLOCATION SCOLAIRE;;wcornelis ;Client/Server Access;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
CEDIES;;wcornelis ;Client/Server Access;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
ETUDES SUPERIEURES;;wcornelis ;Client/Server Access;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
PPA;;wcornelis ;Client/Server Access;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
PTP;;wcornelis ;Client/Server Access;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
READMAILWEBI;;wcornelis ;VB;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
STREAMLINE;;iizquierdo tfassian jalambert ;Oracle/Progiciel;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
STREAMLINE-BO;4.7;gsabbatucci DG PERS tfassian ;Business Objects;PROD
STREAMLINE;;iizquierdo tfassian jalambert ;Oracle/Progiciel;PROD
VISEP CORE;1.10.0;mbalsby gpotoms DG COMM DG ITEC gpsallidas mvanpoucke ;J2EE, Hibernate, Spring, ORACLE;PROD
APA-PEOPLE;;ajuste DG PERS oleboeuf iizquierdo lernewein rsuchecki ;Oracle/Java;PROD
APPFTU;0.6.0;vledieu emolinari ;Oracle/Java;PROD
CARMEP;1.3.3;mamabilino DG INLO DG ITEC/EVOLUTION vdreux jyhubert jmas ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
Data Profiling Tool;1.15.0;fcolson mloreng mbourcellier jjosserand ptagu beng yugur aporcher pbeauregard ;J2EE;PROD
EUROPARL-WebSdi;1.9.17;cbouzas kadam cvagner ;Oracle/Java/XML;DECOMM
Evacuations;1.0.0;cballestrin ;Oracle/Java;PROD
FLUID+;3.X;tconrad ;J2EE;PROD
